,News,Tweet,Compound,Positive,Negative,Neutral,Tweet Ago
33,BBC,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",0.4939,0.122,0.0,0.878,34
34,BBC,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,0.0,0.0,0.0,1.0,35
35,BBC,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",-0.4019,0.225,0.299,0.476,36
36,BBC,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",0.0,0.0,0.0,1.0,37
37,BBC,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",-0.7579,0.0,0.351,0.649,38
38,BBC,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",0.0,0.0,0.0,1.0,39
39,BBC,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",-0.4753,0.0,0.154,0.846,40
40,BBC,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",0.8697,0.38,0.0,0.62,41
41,BBC,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",0.7964,0.265,0.056,0.678,42
42,BBC,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",0.5411,0.162,0.0,0.838,43
43,BBC,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",0.5551,0.339,0.0,0.661,44
44,BBC,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,0.0,0.0,0.0,1.0,45
45,BBC,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",0.0,0.0,0.0,1.0,46
46,BBC,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",0.0,0.0,0.0,1.0,47
47,BBC,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",0.659,0.403,0.0,0.597,48
48,BBC,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",-0.25,0.0,0.083,0.917,49
49,BBC,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",0.0,0.0,0.0,1.0,50
50,BBC,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",-0.1027,0.181,0.229,0.59,51
51,BBC,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,0.0,0.0,0.0,1.0,52
52,BBC,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",0.0,0.0,0.0,1.0,53
53,BBC,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",0.0,0.0,0.0,1.0,54
54,BBC,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,0.3182,0.126,0.0,0.874,55
55,BBC,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",0.0,0.0,0.0,1.0,56
56,BBC,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,0.0,0.0,0.0,1.0,57
57,BBC,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",0.0,0.0,0.0,1.0,58
58,BBC,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,0.4767,0.353,0.168,0.479,59
59,BBC,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",0.0,0.0,0.0,1.0,60
60,BBC,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",0.0,0.0,0.0,1.0,61
61,BBC,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",0.296,0.145,0.0,0.855,62
62,BBC,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",0.4019,0.137,0.0,0.863,63
63,BBC,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",0.0,0.0,0.0,1.0,64
64,BBC,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",0.6114,0.285,0.0,0.715,65
65,BBC,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",0.5267,0.226,0.089,0.685,66
66,BBC,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",0.0,0.0,0.0,1.0,67
